Nthreads, Runtime(sec), Throughput(Kops/sec), MT_CONF
1, 10, 1270.42, (0)
1, 10, 319.73, (0)
1, 10, 50.24, (0)
2, 10, 2534.31, (0,1)
2, 10, 398.77, (0,1)
2, 10, 51.85, (0,1)
4, 10, 4978.25, (0,1,2,3)
4, 10, 383.27, (0,1,2,3)
4, 10, 51.50, (0,1,2,3)
8, 10, 1805.19, (0,1,2,3,4,5,6,7)
8, 10, 360.44, (0,1,2,3,4,5,6,7)
8, 10, 51.11, (0,1,2,3,4,5,6,7)
16, 10, 266.13, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 180.84, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 44.88, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
32, 10, 133.61, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 117.06, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 35.39, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
64, 10, 145.65, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 126.66, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 34.68, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
