Nthreads, Throughput(Kops/sec), Runtime(sec), Workload, List_size

1, 29.68, 10, (80/10/10), 1024
2, 36.08, 10, (80/10/10), 1024
4, 58.64, 10, (80/10/10), 1024
8, 77.18, 10, (80/10/10), 1024
16, 100.39, 10, (80/10/10), 1024
32, 141.63, 10, (80/10/10), 1024
64, 171.55, 10, (80/10/10), 1024

1, 11.83, 10, (80/10/10), 8192
2, 17.72, 10, (80/10/10), 8192
4, 26.23, 10, (80/10/10), 8192
8, 35.80, 10, (80/10/10), 8192
16, 48.38, 10, (80/10/10), 8192
32, 69.84, 10, (80/10/10), 8192
64, 86.02, 10, (80/10/10), 8192

1, 16.48, 10, (20/40/40), 1024
2, 23.79, 10, (20/40/40), 1024
4, 34.12, 10, (20/40/40), 1024
8, 43.46, 10, (20/40/40), 1024
16, 57.49, 10, (20/40/40), 1024
32, 82.02, 10, (20/40/40), 1024
64, 99.16, 10, (20/40/40), 1024

1,  6.65, 10, (20/40/40), 8192
2,  9.94, 10, (20/40/40), 8192
4, 14.82, 10, (20/40/40), 8192
8, 20.32, 10, (20/40/40), 8192
16, 28.21, 10, (20/40/40), 8192
32, 40.47, 10, (20/40/40), 8192
64, 51.87, 10, (20/40/40), 8192
